rates

SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;ISSUESIZE;IS_COLLATERAL;IS_EXTERNAL;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;MATDATE;IS_RII;ISSUEDATE;EVENINGSESSION;DURATION;IS_QUALIFIED_INVESTORS;HIGH_RISK;COUPONFREQUENCY;YIELDATWAP;COUPONDATE;COUPONPERCENT;COUPONVALUE;COUPONDAYSPASSED;COUPONDAYSREMAIN;COUPONLENGTH;ISSUEDATE;INITIALFACEVALUE;SECSUBTYPE;STARTDATEMOEX;DAYSTOREDEMPTION;OFFERDATE;EMITENTNAME;INN;LOTSIZE;PRICE;PRICE_RUB;RTL1;RTH1;RTL2;RTH2;RTL3;RTH3;DISCOUNT1;LIMIT1;DISCOUNT2;LIMIT2;DISCOUNT3;DISCOUNTL0;DISCOUNTH0
AMUNIBB2AER2;UBANK11/22;UNIBANK OJSC Series 1;Корпоративные еврооблигации;AMUNIBB2AER2;;3;100,0;USD;10000;0;1;TQOD;Т+: Облигации (USD) - безадрес.;15.11.2022;;15.11.2019;1;377;0;0;4;;15.11.2021;5,250;1,3125;69;23;92;15.11.2019;100,0;;2020-08-04;388;;"""UNIBANK"" OPENED JOINT STOCK COMPANY";0000004902;1;102,94;7246,4;;14492,8;;14492,8;;14492,8;100,0;;;;;;
AMUNIBB2DER6;UBANK02/24;UNIBANK OJSC Series 1 21;Корпоративные еврооблигации;AMUNIBB2DER6;;3;100,0;USD;33478;0;1;TQOD;Т+: Облигации (USD) - безадрес.;05.02.2024;;05.02.2021;1;784;0;0;4;;05.11.2021;5,300;1,325;79;13;92;05.02.2021;100,0;;2021-07-14;835;;"""UNIBANK"" OPENED JOINT STOCK COMPANY";0000004902;1;102,54;7301,15;;14602,3;;14602,3;;14602,3;100,0;;;;;;
CH0248531110;VTB-24 CHF;VTB CAPITAL S.A. 24 CHF;Корпоративные еврооблигации;CH0248531110;;;5000,0;CHF;70000;0;1;RPMO;РЕПО-М - адрес.;24.10.2024;;24.07.2014;0;;1;0;1;;24.10.2021;5,000;203,625;364;1;365;24.07.2014;5000,0;;;1097;;VTB Capital S.A;0000097053;1;104,71;402122,52;;804245,04;;804245,04;;804245,04;100,0;;;;;100,00;100,00
CH0346828400;GAZ-21 CHF;GAZ CAPITAL SA 2.75 30/11/21;Корпоративные еврооблигации;CH0346828400;;;5000,0;CHF;100000;1;1;RPMO;РЕПО-М - адрес.;30.11.2021;;30.11.2016;0;;1;0;1;;30.11.2021;2,750;137,5;327;38;365;30.11.2016;5000,0;;;38;;Gaz Capital S.A.;0000095071;1;100,24;394490,37;339261,72;449719,02;327427,01;461553,73;315592,3;473388,44;14,0;2000;17,0;10000;20,0;13,00;13,00
CH0374882816;GAZ-22 CHF;GAZ CAPITAL SA 2.25 19/07/22;Корпоративные еврооблигации;CH0374882816;;;5000,0;CHF;100000;1;1;RPMO;РЕПО-М - адрес.;19.07.2022;;19.07.2017;0;;1;0;1;;19.07.2022;2,250;112,5;96;269;365;19.07.2017;5000,0;;;269;;Gaz Capital S.A.;0000095071;1;101,27;391215,95;336445,72;445986,18;324709,24;457722,66;312972,76;469459,14;14,0;2000;17,0;10000;20,0;15,00;15,00
CH0379268748;RZD-23 CHF;RZD Capital PLC 23 CHF;Корпоративные еврооблигации;CH0379268748;;;5000,0;CHF;90000;1;1;RPMO;РЕПО-М - адрес.;02.10.2023;;02.10.2017;0;;1;0;1;;02.10.2022;2,100;105,0;21;344;365;02.10.2017;5000,0;;;709;;RZD Capital plc;0000003850;1;103,5;397990,95;310432,94;485548,96;298493,21;497488,69;286553,48;509428,42;22,0;1800;25,0;9000;28,0;20,00;20,00
CH0385518086;ALFA-22 CH;Alfa Holding Issuance 09/11/22;Корпоративные еврооблигации;CH0385518086;;;5000,0;CHF;33000;0;1;RPMO;РЕПО-М - адрес.;09.11.2022;;09.11.2017;0;;1;0;1;;09.11.2021;2,875;143,75;348;17;365;09.11.2017;5000,0;;;382;;Alfa holding Issuance plc;0000003953;1;101,85;401750,76;373628,21;429873,31;361575,68;441925,84;349523,16;453978,36;7,0;660;10,0;3300;13,0;;
CH0404311711;GAZ-23 CHF;GAZ CAPITAL SA 1.45 6/3/23 CHF;Корпоративные еврооблигации;CH0404311711;;;5000,0;CHF;150000;1;1;RPMO;РЕПО-М - адрес.;06.03.2023;;06.03.2018;0;;1;0;1;;06.03.2022;1,450;72,5;231;134;365;06.03.2018;5000,0;;;499;;Gaz Capital S.A.;0000095071;1;101,27;392453,92;349283,99;435623,85;337510,37;447397,47;325736,75;459171,09;11,0;3000;14,0;15000;17,0;19,00;19,00
CH0419041618;RZD-25 CHF;RZD CAPITAL PLC 0.898 03/10/25;Корпоративные еврооблигации;CH0419041618;;;5000,0;CHF;70000;1;1;RPMO;РЕПО-М - адрес.;03.10.2025;;03.10.2019;0;;1;0;1;;03.10.2022;0,898;44,9;20;345;365;03.10.2019;5000,0;;;1441;;RZD Capital plc;0000003850;1;100,47;386050,21;247072,13;525028,29;235490,63;536609,79;223909,12;548191,3;36,0;1400;39,0;7000;42,0;;
CH0419041634;RZD-28 CHF;RZD CAPITAL PLC 03/04/28;Корпоративные еврооблигации;CH0419041634;;;5000,0;CHF;30000;1;1;RPMO;РЕПО-М - адрес.;03.04.2028;;03.10.2019;0;;1;0;;;03.04.2022;1,195;59,75;203;162;365;03.10.2019;5000,0;;;2354;;RZD Capital plc;0000003850;1;99,74;385611,07;215942,2;555279,94;204373,87;566848,27;192805,54;578416,61;44,0;600;47,0;3000;50,0;;
